PC,LOI,CD,BD,Dc,De,Elev_m,CostalBlue,Blue,Green,Yellow,Red,RedEdge,NIR1,NIR2,NDVI,NDWI,dis_inlet,MSAVI,VARI,BNDVI,CIG,CVI,GARI,GBNDVI,MCARI1,tidal_heigh,tidal_range,MHW_old,NDWI15m,NDVI15m,NDWI30m,NDVI30m,Location
30.9877724,0.6184187,0.04443,0.14337,24.28604022,746.8372314,0.403,343,305,343,345,326,376,537,384,0.244495944,-0.220454545,2692,0.892701595,0.046703297,0.275534442,0.565597668,1.488002448,0.804651163,-0.093670886,330.36,2.19,1.0546,0.68,-0.016609955,0.25091542,0.013211197,0.241291058,Westport
21.8297456,0.4423028,0.03443,0.15771,21.03312008,698.6244629,0.266,345,312,358,350,327,367,519,367,0.226950355,-0.183580388,2692,0.869717701,0.08310992,0.249097473,0.44972067,1.324186199,0.829545455,-0.126997477,324.84,2.19,1.0546,0.68,0.022317583,0.254859751,0.046837658,0.228032491,Westport
23.0963772,0.4666611,0.04139,0.17921,18.24237012,671.9975098,0.34,341,300,339,325,296,343,490,332,0.246819338,-0.182147165,2692,0.895674371,0.128358209,0.240506329,0.445427729,1.262084388,1.054421769,-0.131975199,346.44,2.19,1.0546,0.68,0.059748219,0.227357603,0.090510314,0.205927082,Westport
16.4539544,0.3389222,0.04168,0.25329,16.88726324,660.6840332,0.348,341,301,332,313,286,310,427,278,0.197755961,-0.12516469,2692,0.829951893,0.14511041,0.173076923,0.286144578,1.107943823,1.375,-0.194339623,274.8,2.19,1.0546,0.68,0.08593791,0.205146919,0.157550175,0.160912367,Westport
25.4545408,0.5120104,0.03528,0.13859,4.968707333,610.1577881,0.393,338,301,337,322,294,331,473,318,0.233376793,-0.167901235,2692,0.878186933,0.13030303,0.222222222,0.403560831,1.224471467,1.108527132,-0.148514851,324.84,2.19,1.0546,0.68,0.013509265,0.236645878,0.089106445,0.194784058,Westport
27.5862496,0.5530048,0.03494,0.12664,6.887247467,577.0868652,0.374,336,298,330,314,292,330,488,331,0.251282051,-0.193154034,2692,0.901393159,0.117283951,0.24173028,0.478787879,1.308503214,1.078947368,-0.125448029,341.52,2.19,1.0546,0.68,0.046442465,0.237002417,0.062237493,0.215034158,Westport
25.485798,0.5126115,0.04263,0.16726,8.436370681,464.0045898,0.449,347,322,367,368,350,402,569,398,0.238302503,-0.215811966,2692,0.884677767,0.043037975,0.277216611,0.550408719,1.478591422,0.756521739,-0.095389507,341.88,2.19,1.0546,0.68,-0.022638955,0.22403972,0.01637925,0.217813847,Westport
22.1769028,0.4489789,0.03762,0.16965,9.829423049,411.8627441,0.382,343,309,354,361,327,401,569,400,0.270089286,-0.232936078,2692,0.925092804,0.072580645,0.296127563,0.607344633,1.484750551,0.845493562,-0.076298701,390.6,2.19,1.0546,0.68,-0.028624506,0.247745355,0.028927414,0.216890198,Westport
18.7663112,0.3833906,0.03273,0.17443,6.433948852,379.3067139,0.421,343,304,338,318,277,333,461,301,0.249322493,-0.153942428,2692,0.898872263,0.196141479,0.205228758,0.363905325,1.117756731,1.5625,-0.164097915,360.12,2.19,1.0546,0.68,-0.009914143,0.23725765,-0.004908178,0.231803512,Westport
25.9590656,0.5217128,0.04838,0.18638,17.8373327,313.7506836,0.4,348,317,371,370,351,409,590,414,0.253985122,-0.227887617,2692,0.904880549,0.049382716,0.300992282,0.590296496,1.504566227,0.731225296,-0.076682316,375.36,2.19,1.0546,0.68,-0.012521939,0.225349976,0.041716083,0.21067151,Westport
22.5908228,0.4569389,0.07989,0.35364,10.97587645,164.2726563,0.3,334,299,333,311,283,324,456,310,0.234100135,-0.155893536,2692,0.879127862,0.157728707,0.20794702,0.369369369,1.163758353,1.299065421,-0.161764706,327.12,2.19,1.0546,0.68,0.156079652,0.128893931,0.195555533,0.096210524,Westport
10.69965,0.2282625,0.03503,0.32736,13.51651639,124.8170288,0.323,341,299,336,320,292,325,450,302,0.212938005,-0.145038168,2692,0.850858048,0.133738602,0.201602136,0.339285714,1.163903061,1.130841121,-0.170506912,296.16,2.19,1.0546,0.68,0.146574591,0.154824084,0.218918287,0.09508762,Westport
11.3129016,0.2400558,0.03487,0.30824,3.92726116,0,0.408,338,296,334,318,295,350,507,344,0.264339152,-0.205707491,2692,0.917906055,0.117117117,0.262764633,0.517964072,1.34071677,1.011627907,-0.10817942,366.12,2.19,1.0546,0.68,0.317356682,0.02476225,0.431810683,-0.051863624,Westport
30.644796,0.611823,0.04906,0.16008,21.32173329,133.8058057,0.365,351,327,379,392,378,421,589,419,0.21820062,-0.216942149,2692,0.858039179,0.002325581,0.286026201,0.55408971,1.549989209,0.609195402,-0.09034749,305.4,2.19,1.0546,0.68,-0.064748944,0.226729378,-0.056963829,0.2309126,Westport
24.5497876,0.4946113,0.04458,0.18158,13.52722142,53.13771484,0.303,338,300,335,323,301,347,496,342,0.244667503,-0.193742479,2692,0.892904707,0.101190476,0.246231156,0.480597015,1.330327467,0.987654321,-0.122900088,333.84,2.19,1.0546,0.68,0.066740778,0.216260261,0.152746286,0.160313762,Westport
34.7519744,0.6908072,0.04816,0.13858,12.73346249,95.76466797,0.332,342,309,357,357,336,382,555,380,0.245791246,-0.217105263,2692,0.89437942,0.0546875,0.284722222,0.554621849,1.463173505,0.76,-0.090909091,348.12,2.19,1.0546,0.68,-0.011915482,0.236318811,0.010838404,0.230532199,Westport
18.4659696,0.3776148,0.04236,0.22937,3.985080278,40.72353027,0.312,333,293,321,305,264,305,408,291,0.214285714,-0.119341564,2692,0.852661408,0.195205479,0.164051355,0.271028037,1.04533147,2,-0.201565558,296.28,2.19,1.0546,0.68,0.234927968,0.100682736,0.166458054,0.146902007,Westport
31.9633236,0.6371793,0.04582,0.14336,15.10281048,219.1490674,0.398,346,314,369,362,348,397,584,410,0.253218884,-0.225603358,2692,0.903903454,0.052109181,0.300668151,0.582655827,1.492585983,0.726907631,-0.078137332,372.6,2.19,1.0546,0.68,-0.069383183,0.262106569,-0.03998886,0.265366804,Westport
23.8909788,0.4819419,0.03311,0.13858,10.77622976,170.2795605,0.294,360,342,409,419,408,459,663,469,0.238095238,-0.236940299,2692,0.884436919,0.002105263,0.319402985,0.621026895,1.617063504,0.5875,-0.062234795,368.76,2.19,1.0546,0.68,0.06480802,0.219095948,0.125456518,0.172920152,Westport
25.09,0.505,0.03537,0.14098,12.08366903,189.5930371,0.279,334,298,332,328,299,362,521,355,0.270731707,-0.221570926,2692,0.925868998,0.099099099,0.272283272,0.569277108,1.413294745,0.989473684,-0.094700261,371.16,2.19,1.0546,0.68,0.026546243,0.243221071,0.032022358,0.233381788,Westport
